nco2015_3d,isco_label,n_soc_total,us_emp,AIOE_uw,AIOE_w,n_soc_AIOE,gpt_beta_human_uw,gpt_beta_human_w,n_soc_gpt_beta_human,gpt_beta_model_uw,gpt_beta_model_w,n_soc_gpt_beta_model,z_AIOE_w,z_AIOE_uw,z_gpt_beta_human_w,z_gpt_beta_human_uw,z_gpt_beta_model_w,z_gpt_beta_model_uw
235,Other teaching professionals,12.0000,2042570.0000,0.8525,1.0928,11.0000,0.3621,0.3574,11.0000,0.3737,0.4189,11.0000,1.2948,1.0083,0.4765,0.4950,0.5006,0.2851
241,Finance professionals,7.0000,2160770.0000,1.4188,1.4472,7.0000,0.5899,0.5510,7.0000,0.5369,0.5433,7.0000,1.6845,1.6379,1.5621,1.7540,1.1260,1.1070
242,Administration professionals,8.0000,3760843.3333,1.2607,1.2221,8.0000,0.4985,0.5047,8.0000,0.5008,0.5213,8.0000,1.4370,1.4621,1.3024,1.2492,1.0154,0.9254
243,"Sales, marketing and public relations professionals",6.0000,1589290.0000,1.1754,1.2743,6.0000,0.6095,0.5770,6.0000,0.5899,0.5427,6.0000,1.4943,1.3673,1.7083,1.8623,1.1232,1.3742
251,Software and applications developers and analysts,7.0000,2868368.3333,1.2043,1.2249,7.0000,0.5698,0.5561,7.0000,0.7959,0.7958,7.0000,1.4401,1.3995,1.5910,1.6430,2.3964,2.4120
252,Database and network professionals,5.0000,1771458.3333,1.0275,1.0961,5.0000,0.5556,0.5503,5.0000,0.7445,0.7561,5.0000,1.2984,1.2029,1.5586,1.5646,2.1964,2.1532
261,Legal professionals,4.0000,729960.0000,1.4079,1.3371,4.0000,0.3605,0.4629,4.0000,0.4604,0.4269,4.0000,1.5634,1.6258,1.0684,0.4865,0.5405,0.7220
262,"Librarians, archivists and curators",4.0000,144940.0000,0.7253,0.7406,4.0000,0.5046,0.5014,4.0000,0.5175,0.5309,4.0000,0.9074,0.8669,1.2841,1.2830,1.0640,1.0098
263,Social and religious professionals,23.0000,1135640.0000,1.1568,0.9600,20.0000,0.4380,0.3924,20.0000,0.3888,0.3171,20.0000,1.1487,1.3466,0.6725,0.9148,-0.0117,0.3614
264,"Authors, journalists and linguists",6.0000,291850.0000,1.1544,1.1380,6.0000,0.6985,0.7018,6.0000,0.7129,0.7219,6.0000,1.3445,1.3439,2.4078,2.3542,2.0247,1.9940
265,Creative and performing artists,14.0000,358570.0000,0.0707,0.6868,13.0000,0.3230,0.3922,13.0000,0.4312,0.4702,13.0000,0.8483,0.1392,0.6719,0.2790,0.7586,0.5748
311,Physical and engineering science technicians,24.0000,971630.0000,0.2277,0.3187,23.0000,0.3710,0.3873,23.0000,0.4105,0.4340,23.0000,0.4436,0.3138,0.6443,0.5446,0.5767,0.4705
312,"Mining, manufacturing and construction supervisors",2.0000,1295290.0000,-0.1950,-0.1981,2.0000,0.2292,0.2293,2.0000,0.4083,0.4086,2.0000,-0.1247,-0.1561,-0.2421,-0.2395,0.4486,0.4596
313,Process control technicians,13.0000,922460.0000,-0.3117,-0.1885,13.0000,0.1490,0.1965,13.0000,0.2566,0.3305,13.0000,-0.1142,-0.2859,-0.4262,-0.6828,0.0557,-0.3050
314,Life science technicians and related associate professionals,4.0000,159010.0000,-0.0633,0.0312,4.0000,0.3313,0.3165,4.0000,0.3956,0.4040,4.0000,0.1274,-0.0098,0.2471,0.3252,0.4256,0.3956
315,Ship and aircraft controllers and technicians,8.0000,249785.0000,0.0990,0.0218,8.0000,0.2589,0.2530,8.0000,0.3087,0.3260,8.0000,0.1170,0.1707,-0.1088,-0.0754,0.0331,-0.0425
321,Medical and pharmaceutical technicians,12.0000,765370.0000,-0.0606,-0.1090,12.0000,0.1898,0.3403,12.0000,0.2636,0.3673,12.0000,-0.0267,-0.0067,0.3808,-0.4570,0.2410,-0.2695
322,Nursing and midwifery associate professionals,2.0000,712915.0000,-0.1421,-0.4390,2.0000,0.2617,0.2524,2.0000,0.3040,0.2609,2.0000,-0.3897,-0.0973,-0.1126,-0.0595,-0.2944,-0.0660
323,Traditional and complementary medicine associate professionals,1.0000,71675.0000,0.2296,0.2296,1.0000,0.2735,0.2735,1.0000,0.3580,0.3580,1.0000,0.3455,0.3158,0.0059,0.0055,0.1943,0.2060
324,Veterinary technicians and assistants,2.0000,217640.0000,-0.5680,-0.5493,2.0000,0.1478,0.1478,2.0000,0.1931,0.1904,2.0000,-0.5110,-0.5708,-0.6990,-0.6890,-0.6486,-0.6249
325,Other health associate professionals,24.0000,2994410.0000,-0.0967,-0.1453,24.0000,0.2437,0.1987,24.0000,0.3125,0.3068,24.0000,-0.0667,-0.0469,-0.4138,-0.1592,-0.0631,-0.0233
331,Financial and mathematical associate professionals,12.0000,2985960.0000,1.1375,1.1633,11.0000,0.5573,0.4279,12.0000,0.6598,0.6973,12.0000,1.3723,1.3252,0.8718,1.5739,1.9008,1.7265
332,Sales and purchasing agents and brokers,11.0000,3821870.0000,1.1599,1.1208,11.0000,0.4808,0.5906,11.0000,0.5489,0.6001,11.0000,1.3256,1.3501,1.7846,1.1510,1.4120,1.1677
333,Business services agents,16.0000,4207433.3333,0.9097,0.8040,15.0000,0.4407,0.4697,15.0000,0.4992,0.5458,15.0000,0.9772,1.0719,1.1062,0.9297,1.1390,0.9173
334,Administrative and specialised secretaries,6.0000,2790560.0000,1.0414,1.0860,6.0000,0.5666,0.5923,6.0000,0.7223,0.5791,6.0000,1.2873,1.2184,1.7937,1.6253,1.3063,2.0414
335,Regulatory government associate professionals,8.0000,1603250.0000,0.4992,0.3246,8.0000,0.4508,0.4097,8.0000,0.4791,0.4630,8.0000,0.4500,0.6156,0.7700,0.9856,0.7222,0.8162
341,"Legal, social and religious associate professionals",9.0000,854940.0000,0.7809,0.8500,7.0000,0.3841,0.4121,7.0000,0.4098,0.4511,7.0000,1.0278,0.9288,0.7833,0.6170,0.6626,0.4670
342,Sports and fitness workers,7.0000,850600.0000,-0.4595,-0.3400,7.0000,0.2385,0.2728,7.0000,0.2353,0.2523,7.0000,-0.2808,-0.4502,0.0021,-0.1878,-0.3372,-0.4121
343,"Artistic, cultural and culinary associate professionals",15.0000,1562540.0000,-0.2061,-0.2639,10.0000,0.2844,0.2725,12.0000,0.3637,0.4602,12.0000,-0.1971,-0.1685,0.0000,0.0660,0.7082,0.2345
351,Information and communications technology operations and user support technicians,5.0000,1458375.0000,0.7337,0.5843,5.0000,0.5899,0.6062,5.0000,0.7105,0.6754,5.0000,0.7356,0.8763,1.8721,1.7543,1.7908,1.9819
352,Telecommunications and broadcasting technicians,7.0000,179285.0000,0.2354,0.1072,6.0000,0.2330,0.2575,6.0000,0.3956,0.4055,6.0000,0.2110,0.3224,-0.0838,-0.2185,0.4330,0.3952
411,General office clerks,2.0000,2640110.0000,1.2384,1.0006,2.0000,0.4786,0.4990,2.0000,0.5950,0.5767,2.0000,1.1934,1.4373,1.2706,1.1389,1.2940,1.4001
412,Secretaries (general),1.0000,1825980.0000,1.0991,1.0991,1.0000,0.5673,0.5673,1.0000,0.6442,0.6442,1.0000,1.3017,1.2824,1.6537,1.6294,1.6339,1.6480
413,Keyboard operators,2.0000,189100.0000,0.4664,0.3798,2.0000,0.4932,0.4970,2.0000,0.8181,0.8597,2.0000,0.5107,0.5791,1.2594,1.2200,2.7176,2.5237
421,"Tellers, money collectors and related clerks",12.0000,841200.0000,0.4876,0.6245,9.0000,0.3335,0.3536,9.0000,0.4179,0.5195,9.0000,0.7798,0.6027,0.4554,0.3374,1.0063,0.5078
422,Client information workers,14.0000,4786430.0000,0.9821,0.9767,12.0000,0.5617,0.6327,12.0000,0.6221,0.5619,12.0000,1.1672,1.1524,2.0206,1.5984,1.2198,1.5366
431,Numerical clerks,9.0000,2641950.0000,1.2495,1.1519,8.0000,0.5255,0.3869,8.0000,0.7272,0.7782,8.0000,1.3597,1.4496,0.6422,1.3983,2.3078,2.0661
432,Material-recording and transport clerks,5.0000,3863080.0000,0.0425,-0.5285,5.0000,0.3991,0.2808,5.0000,0.4490,0.3130,5.0000,-0.4881,0.1079,0.0466,0.6995,-0.0319,0.6644
441,Other clerical support workers,17.0000,1353910.0000,-0.0034,-0.2127,15.0000,0.3806,0.3576,15.0000,0.4895,0.4065,15.0000,-0.1408,0.0569,0.4777,0.5973,0.4383,0.8685
511,"Travel attendants, conductors and guides",6.0000,288480.0000,0.0675,-0.0295,6.0000,0.2798,0.2578,6.0000,0.2916,0.2973,6.0000,0.0606,0.1357,-0.0821,0.0405,-0.1112,-0.1284
512,Cooks,6.0000,2752560.0000,-0.6031,-0.5369,5.0000,0.1487,0.1617,5.0000,0.1933,0.2515,5.0000,-0.4974,-0.6098,-0.6210,-0.6844,-0.3414,-0.6239
513,Waiters and bartenders,3.0000,2532390.0000,-0.7637,-0.8632,3.0000,0.1582,0.1972,3.0000,0.1692,0.1806,3.0000,-0.8562,-0.7884,-0.4220,-0.6319,-0.6983,-0.7449
514,"Hairdressers, beauticians and related workers",7.0000,651870.0000,-0.3680,-0.2303,7.0000,0.1342,0.1327,7.0000,0.1980,0.1712,7.0000,-0.1601,-0.3485,-0.7837,-0.7644,-0.7454,-0.5999
515,Building and housekeeping supervisors,3.0000,2264390.0000,-1.0108,-1.3765,2.0000,0.1360,0.0464,3.0000,0.1023,0.0194,3.0000,-1.4206,-1.0631,-1.2678,-0.7547,-1.5091,-1.0821
516,Other personal services workers,14.0000,1557350.0000,-0.2907,-0.1146,12.0000,0.2311,0.2699,14.0000,0.2298,0.2616,14.0000,-0.0330,-0.2626,-0.0144,-0.2286,-0.2908,-0.4400
521,Street and market salespersons,2.0000,250890.0000,0.1900,-0.6696,2.0000,0.3164,0.1240,2.0000,0.1952,0.1337,2.0000,-0.6432,0.2719,-0.8327,0.2428,-0.9338,-0.6139
522,Shop salespersons,4.0000,8086800.0000,0.1407,0.2509,4.0000,0.3720,0.3728,4.0000,0.4131,0.4137,4.0000,0.3690,0.2171,0.5627,0.5501,0.4745,0.4833
523,Cashiers and ticket clerks,2.0000,3335170.0000,-0.1491,-0.2471,2.0000,0.3350,0.3602,2.0000,0.2356,0.2096,2.0000,-0.1786,-0.1051,0.4922,0.3454,-0.5524,-0.4106
524,Other sales workers,11.0000,4080860.0000,-0.2712,-0.5361,10.0000,0.3132,0.1711,10.0000,0.2615,0.1503,10.0000,-0.4965,-0.2409,-0.5686,0.2250,-0.8507,-0.2800
531,Child care workers and teachers’ aides,3.0000,608860.0000,0.1662,-0.1558,3.0000,0.3145,0.3393,3.0000,0.2797,0.2084,3.0000,-0.0783,0.2454,0.3749,0.2320,-0.5580,-0.1886
532,Personal care workers in health services,13.0000,2308290.0000,-0.5422,-0.6515,13.0000,0.1333,0.1379,13.0000,0.2027,0.1697,13.0000,-0.6234,-0.5421,-0.7546,-0.7692,-0.7527,-0.5764
541,Protective services workers,18.0000,2978880.0000,-0.4085,-0.5319,17.0000,0.2782,0.2492,18.0000,0.2982,0.2394,18.0000,-0.4918,-0.3935,-0.1301,0.0313,-0.4024,-0.0955
611,Market gardeners and crop growers,4.0000,210250.0000,-0.9766,-0.8528,4.0000,0.1161,0.1674,4.0000,0.1741,0.2428,4.0000,-0.8447,-1.0250,-0.5893,-0.8645,-0.3852,-0.7207
612,Animal producers,2.0000,26720.0000,-0.7617,-0.4993,2.0000,0.1168,0.1550,2.0000,0.2237,0.2766,2.0000,-0.4560,-0.7862,-0.6588,-0.8604,-0.2150,-0.4707
613,Mixed crop and animal producers,3.0000,52900.0000,-0.8895,-0.8189,3.0000,0.0779,0.0783,3.0000,0.1491,0.1397,3.0000,-0.8075,-0.9283,-1.0890,-1.0756,-0.9036,-0.8463
621,Forestry and related workers,6.0000,65010.0000,-0.9639,-0.8260,5.0000,0.1137,0.1094,5.0000,0.1507,0.2016,5.0000,-0.8153,-1.0109,-0.9146,-0.8777,-0.5924,-0.8384
622,"Fishery workers, hunters and trappers",4.0000,26720.0000,-1.0854,-0.4993,4.0000,0.0628,0.1550,4.0000,0.1338,0.2766,4.0000,-0.4560,-1.1460,-0.6588,-1.1590,-0.2150,-0.9237
631,Subsistence crop farmers,1.0000,277200.0000,-1.6013,-1.6013,1.0000,0.0714,0.0714,1.0000,0.1429,0.1429,1.0000,-1.6679,-1.7196,-1.1274,-1.1113,-0.8879,-0.8779
632,Subsistence livestock farmers,1.0000,34140.0000,-1.1084,-1.1084,1.0000,0.0781,0.0781,1.0000,0.0625,0.0625,1.0000,-1.1258,-1.1716,-1.0898,-1.0743,-1.2921,-1.2827
633,Subsistence mixed crop and livestock farmers,2.0000,311340.0000,-1.3549,-1.5473,2.0000,0.0748,0.0722,2.0000,0.1027,0.1340,2.0000,-1.6084,-1.4456,-1.1233,-1.0928,-0.9322,-1.0803
634,"Subsistence fishers, hunters, trappers and gatherers",2.0000,0.0000,-1.4090,-1.4090,2.0000,0.0088,0.0088,2.0000,0.0439,0.0439,2.0000,-1.4564,-1.5058,-1.4788,-1.4576,-1.3859,-1.3766
711,Building frame and related trades workers,13.0000,1296320.0000,-1.1815,-0.8790,13.0000,0.0829,0.1370,13.0000,0.0914,0.1790,13.0000,-0.8735,-1.2528,-0.7596,-1.0477,-0.7059,-1.1373
712,Building finishers and related trades workers,15.0000,1797330.0000,-1.3353,-0.8630,15.0000,0.0519,0.1279,15.0000,0.0790,0.1723,15.0000,-0.8560,-1.4238,-0.8108,-1.2192,-0.7396,-1.1995
713,"Painters, building structure cleaners and related trades workers",5.0000,361970.0000,-1.4711,-1.4670,4.0000,0.0126,0.0213,4.0000,0.0428,0.0515,4.0000,-1.5201,-1.5748,-1.4087,-1.4366,-1.3476,-1.3821
721,"Sheet and structural metal workers, moulders and welders, and related workers",11.0000,910880.0000,-1.2845,-1.2322,11.0000,0.0348,0.0339,11.0000,0.0534,0.0706,11.0000,-1.2619,-1.3674,-1.3376,-1.3140,-1.2515,-1.3287
722,"Blacksmiths, toolmakers and related trades workers",20.0000,1064770.0000,-0.8244,-0.8751,19.0000,0.0947,0.1032,19.0000,0.1536,0.1487,19.0000,-0.8693,-0.8558,-0.9494,-0.9826,-0.8586,-0.8239
723,Machinery mechanics and repairers,20.0000,2576990.0000,-1.0186,-0.8383,20.0000,0.0729,0.1150,20.0000,0.0941,0.1681,20.0000,-0.8288,-1.0717,-0.8827,-1.1030,-0.7610,-1.1233
731,Handicraft workers,15.0000,704350.0000,-0.6116,-0.1828,13.0000,0.1006,0.2329,13.0000,0.1491,0.3460,13.0000,-0.1079,-0.6192,-0.2220,-0.9502,0.1338,-0.8463
732,Printing trades workers,4.0000,219540.0000,-0.2153,-0.5777,4.0000,0.1956,0.1243,4.0000,0.3650,0.2808,4.0000,-0.5422,-0.1787,-0.8310,-0.4251,-0.1942,0.2411
741,Electrical equipment installers and repairers,16.0000,1665050.0000,-0.7933,-0.5628,16.0000,0.1205,0.1727,16.0000,0.1779,0.2276,16.0000,-0.5258,-0.8213,-0.5592,-0.8400,-0.4618,-0.7015
742,Electronics and telecommunications installers and repairers,11.0000,1034150.0000,-0.5744,-0.3620,11.0000,0.1594,0.2168,11.0000,0.2482,0.3267,11.0000,-0.3050,-0.5779,-0.3121,-0.6252,0.0370,-0.3474
751,Food processing and related trades workers,13.0000,932080.0000,-0.8629,-0.8463,12.0000,0.0788,0.0717,12.0000,0.1157,0.1186,12.0000,-0.8376,-0.8986,-1.1259,-1.0705,-1.0100,-1.0149
752,"Wood treaters, cabinet-makers and related trades workers",7.0000,203820.0000,-1.1016,-1.2242,7.0000,0.0892,0.0399,7.0000,0.1209,0.0931,7.0000,-1.2531,-1.1640,-1.3040,-1.0134,-1.1381,-0.9886
753,Garment and related trades workers,10.0000,185785.0000,-0.9035,-1.1841,9.0000,0.1049,0.1770,9.0000,0.1469,0.1648,9.0000,-1.2091,-0.9438,-0.5352,-0.9266,-0.7775,-0.8577
754,Other craft and related workers,8.0000,839235.0000,-0.6174,-0.2284,8.0000,0.1550,0.1889,8.0000,0.1966,0.3614,8.0000,-0.1580,-0.6257,-0.4685,-0.6495,0.2113,-0.6073
811,Mining and mineral processing plant operators,18.0000,417930.0000,-1.1401,-1.0274,17.0000,0.0537,0.0609,16.0000,0.0525,0.0668,16.0000,-1.0367,-1.2068,-1.1866,-1.2094,-1.2706,-1.3330
812,Metal processing and finishing plant operators,8.0000,246385.0000,-1.0945,-1.1148,8.0000,0.0453,0.0472,8.0000,0.0914,0.0770,8.0000,-1.1328,-1.1561,-1.2630,-1.2556,-1.2193,-1.1373
813,Chemical and photographic products plant and machine operators,4.0000,198950.0000,-0.7486,-0.7411,4.0000,0.0919,0.0696,4.0000,0.1865,0.1408,4.0000,-0.7219,-0.7716,-1.1374,-0.9983,-0.8983,-0.6580
814,"Rubber, plastic and paper products machine operators",20.0000,877080.0000,-1.0648,-1.0656,19.0000,0.0459,0.0436,19.0000,0.0856,0.0614,19.0000,-1.0787,-1.1231,-1.2836,-1.2525,-1.2977,-1.1661
815,"Textile, fur and leather products machine operators",7.0000,321960.0000,-1.0906,-1.0505,6.0000,0.0683,0.0466,6.0000,0.1030,0.0717,6.0000,-1.0622,-1.1518,-1.2664,-1.1286,-1.2459,-1.0785
816,Food and related products machine operators,6.0000,267070.0000,-0.7393,-0.5835,5.0000,0.0736,0.1149,5.0000,0.0932,0.1034,5.0000,-0.5486,-0.7613,-0.8835,-1.0996,-1.0866,-1.1280
817,Wood processing and papermaking plant operators,3.0000,146410.0000,-1.0603,-0.9890,3.0000,0.0312,0.0252,3.0000,0.0547,0.0280,3.0000,-0.9945,-1.1181,-1.3869,-1.3336,-1.4657,-1.3220
818,Other stationary plant and machine operators,12.0000,724590.0000,-0.9211,-0.9366,12.0000,0.0694,0.0762,12.0000,0.1033,0.0560,12.0000,-0.9369,-0.9633,-1.1007,-1.1228,-1.3250,-1.0773
821,Assemblers,9.0000,98070.0000,-0.6877,-0.8850,8.0000,0.0425,0.0264,8.0000,0.1145,0.0885,8.0000,-0.8801,-0.7039,-1.3799,-1.2711,-1.1613,-1.0209
831,Locomotive engine drivers and related workers,9.0000,120205.0000,-0.7007,-0.5904,8.0000,0.1473,0.1853,8.0000,0.2330,0.2692,8.0000,-0.5562,-0.7183,-0.4888,-0.6920,-0.2524,-0.4235
832,"Car, van and motorcycle drivers",7.0000,1668860.0000,-0.6874,-0.9703,6.0000,0.1855,0.2106,6.0000,0.2827,0.3460,6.0000,-0.9739,-0.7035,-0.3470,-0.4810,0.1337,-0.1733
833,Heavy truck and bus drivers,5.0000,2508700.0000,-0.5042,-0.9628,5.0000,0.2062,0.1731,5.0000,0.3092,0.2786,5.0000,-0.9657,-0.4999,-0.5569,-0.3667,-0.2052,-0.0398
834,Mobile plant operators,13.0000,1623585.0000,-0.9241,-1.0919,13.0000,0.0877,0.0975,13.0000,0.0989,0.0709,13.0000,-1.1076,-0.9667,-0.9811,-1.0214,-1.2499,-1.0995
835,Ships’ deck crews and related workers,2.0000,29350.0000,-1.0186,-1.1255,2.0000,0.0698,0.0217,2.0000,0.0213,0.0386,2.0000,-1.1446,-1.0717,-1.4063,-1.1201,-1.4124,-1.4904
911,"Domestic, hotel and office cleaners and helpers",3.0000,3112070.0000,-1.5156,-1.4684,3.0000,0.0289,0.0319,3.0000,0.0278,0.0094,3.0000,-1.5217,-1.6242,-1.3493,-1.3466,-1.5591,-1.4577
912,"Vehicle, window, laundry and other hand cleaning workers",5.0000,2444170.0000,-1.5567,-1.4671,4.0000,0.0356,0.0245,4.0000,0.0430,0.0130,4.0000,-1.5203,-1.6699,-1.3907,-1.3094,-1.5409,-1.3811
921,"Agricultural, forestry and fishery labourers",8.0000,1210090.0000,-1.4223,-1.7491,5.0000,0.0496,0.0369,5.0000,0.0634,0.0527,5.0000,-1.8303,-1.5205,-1.3211,-1.2320,-1.3414,-1.2781
931,Mining and construction labourers,12.0000,1316520.0000,-1.6341,-1.5823,10.0000,0.0090,0.0187,10.0000,0.0091,0.0399,10.0000,-1.6470,-1.7559,-1.4231,-1.4562,-1.4060,-1.5520
932,Manufacturing labourers,5.0000,3874340.0000,-1.3925,-1.6215,5.0000,0.1112,0.0688,5.0000,0.1697,0.0909,5.0000,-1.6900,-1.4874,-1.1423,-0.8916,-1.1494,-0.7428
933,Transport and storage labourers,8.0000,5295350.0000,-0.9064,-1.2691,6.0000,0.1477,0.1123,7.0000,0.1921,0.1110,7.0000,-1.3026,-0.9470,-0.8983,-0.6900,-1.0481,-0.6296
941,Food preparation assistants,6.0000,2390290.0000,-1.2397,-1.2080,5.0000,0.0145,0.0236,5.0000,0.0074,0.0121,5.0000,-1.2353,-1.3176,-1.3955,-1.4258,-1.5454,-1.5603
951,Street and related service workers,1.0000,74070.0000,,,0.0000,0.1250,0.1250,1.0000,0.0417,0.0417,1.0000,,,-0.8269,-0.8152,-1.3969,-1.3877
952,Street vendors (excluding food),1.0000,7860.0000,1.1071,1.1071,1.0000,0.5217,0.5217,1.0000,0.2609,0.2609,1.0000,1.3105,1.2914,1.3982,1.3775,-0.2943,-0.2834
961,Refuse workers,3.0000,126050.0000,-0.5684,-1.2834,2.0000,0.2719,0.2321,2.0000,0.2635,0.1964,2.0000,-1.3182,-0.5712,-0.2260,-0.0031,-0.6185,-0.2699
962,Other elementary workers,14.0000,4876235.0000,-0.8395,-1.3607,13.0000,0.1785,0.0816,13.0000,0.1806,0.0915,13.0000,-1.4032,-0.8726,-1.0705,-0.5195,-1.1463,-0.6879
